Post title,Created date,Engagement rate
"AI is high on every agenda. But for many organizations, the question is where to start – and how to move beyond isolated initiatives.

In our latest article, we speak with Leon Dusée, Global Head COO Risk at ING about how to apply AI in practice. He explains that successful AI adoption requires focus, clear choices, and early thinking about how solutions will scale within the organization.

In the interview, Dusée shares lessons on:
🔸 Why AI pilots often stall
🔸 What leaders need to take into account when implementing AI solutions
🔸 The importance of investing in people alongside technology
🔸 And how AI can contribute to broader societal impact

Read the full article below 👇 
https://lnkd.in/eU8jqvT9
",04/16/2026,0.0
"🚀 Meet Nic van Vliet AI Project Lead at KickstartAI!

With a background spanning the startup world, product operations at Google, and his own AI agency, Nic now focuses on turning AI projects into impactful solutions. 

We spoke with Nic about his path into AI, what motivates him in his work, and where he sees the technology making the biggest difference.

📖 Read his full story here: https://lnkd.in/eut6kaKm",04/10/2026,0.1186894029378891
"Last night, KickstartAI teamed up with Cisco to host an inspiring community meetup focused on the tools, infrastructure, and strategies necessary to build secure, full-stack AI applications for the enterprise.

🌟 Quick recap: 

🔧 Boris Vermaas broke down Cisco's concept of the Secure AI Factory and how to think about the foundations needed to run AI applications securely at enterprise level. 

⚙️ Sebastiaan van Duijn shared practical lessons from building an agentic AI system for Trivium Packaging, using the infrastructure and Secure AI Factory concept from Cisco and NVIDIA.

🛠️ Igor Soltysik walked us through highlights from NVIDIA GTC, including NIM APIs and NemoClaw – a new open-source stack designed to make AI agents safer to run in enterprise environments.

A big thanks to the speakers who shared their knowledge, and to everyone who joined the event! 

Stay tuned for our upcoming meetup in May 🗓️ 
#EnterpriseAI #AICommunity #AIMeetup #Nvidia #KickstartAI #Cisco",04/03/2026,0.13063909113407135
"Last Thursday, our CEO Erick Webbe joined the roundtable discussion in the Dutch Parliament (Tweede Kamer der Staten-Generaal) on how the Netherlands can make better use of the opportunities AI offers. 🇳🇱 

Our view is clear: the urgency is there – now execution needs to follow.
As Erick put it: ""We need to take AI out of the ivory tower and into practice.”

That broader message was reflected in several parts of the discussion. As Maarten de Rijke also noted, the Netherlands has spent a long time thinking through the rules around AI; now it is time to start playing.

The Netherlands already has a strong foundation – from long-term research through ELLIS - European Laboratory for Learning and Intelligent Systems, to mid-term collaboration through ICAI - Innovation Center for Artificial Intelligence labs, to short-cycle implementation through initiatives like KickstartAI. What is still missing is not ideas, talent, or infrastructure, but turning that capacity into actual use.

The next step is to build on what already works. As @Petra Piersma noted, that means focusing on scaling proven solutions. 📊 

That’s the part we focus on at KickstartAI: working with organisations to apply AI in practice and sharing the learnings so they can be replicated across the Dutch ecosystem. 

We’d be happy to welcome interested MPs Claire Martens - America, Henk Vermeer, Ouafa Oualhadj, Jantine Zwinkels, Sarah El Boujdaini, Barbara Kathmann to one of our upcoming project launches and show what that real life AI solutions look like in action. 🚀  

#VVD #CDA #BBB #D66 #PRO #KickstartAI #AI",03/30/2026,0.11610487103462219
"🚀 Meet Anouk Wolters, AI Project Lead at KickstartAI!

Anouk works at the intersection of technology, people, and implementation – helping turn AI ideas into concrete solutions.

What drives her the most? Making sure AI genuinely serves the people who end up using it. That becomes even more rewarding when there’s a broader societal purpose behind her work – like in a project she’s currently leading at Leiden University Medical Center, where we're developing an AI solution that reduces nurses’ workload while improving wound care.

👉 Read her full story here: https://lnkd.in/em9vdXYh ",03/27/2026,0.080924853682518
"🚀 This month, we kicked off the first of our new Knowledge Sharing Sessions with our corporate partners: Ahold Delhaize, ING, KLM Royal Dutch Airlines, and Nederlandse Spoorwegen.

These closed-door sessions are designed to create space to share what teams are seeing, testing, and learning – so organisations don't have to work through these developments in isolation, but can build on each other’s experiences.

For this first edition, we focused on MCPs (Model Context Protocol) and AI agents, opening with a keynote by Bob van Luijt. We moved into roundtable discussions on where these building blocks are already showing up, what teams are experimenting with, and where the practical questions still are.

The goal is simple: by turning these insights into a shared knowledge base, the whole group can move forward faster. A big thank you to all the participants! 👏 

#AIAgents #MCPs #KickstartAI #AppliedAI ",03/26/2026,0.24829509854316711
"We are proud to share that our CEO, Erick Webbe, will be taking part in a roundtable discussion at the Dutch Parliament (Tweede Kamer der Staten-Generaal) on 26 March about optimizing AI opportunities for the Netherlands.

At KickstartAI, our position is clear: The Netherlands 🇳🇱  has many prerequisites in place – talent, infrastructure, and a strong business climate – but we are losing momentum to low AI implementation capacity and structures that weren't built for the speed of this technology. As a result, we're not realizing the full potential of AI and its benefits for society.

Erick will be advocating for a national shift from talk to action. To do that, we need:
✅ Space for execution and a mandate for practical experimentation. 
✅ Moving past existing structures to prioritize performance and scale. 
✅ Bridging the impact gap by tackling today’s most complex challenges

We know this is possible through our own projects – from reducing food waste with Ahold Delhaize, to optimizing logistics with Ampère, and improving financial health with ING.

📖 You can find our full position paper on the Parliament’s website here: https://lnkd.in/e2X6exwK 

Looking forward to the conversation Claire Martens - America, Judith Bühler, Ouafa Oualhadj, Barbara Kathmann, Tom van der Lee, Daniël van den Berg!",03/20/2026,0.04297378659248352
"In an interview published this week, Erick Webbe, our CEO, points out a common trap in AI implementation: starting with the technology instead of the problem.

“We want to do something with AI” is still where many organizations begin. But without a clear problem to solve, that’s usually where things start to stall.

As AI becomes a “system technology”– much like electricity or the internet – what does deliberate application look like and what kind of challenges do organizations need to solve?

👉 Read the full interview here: https://lnkd.in/ewkX_w6Z",03/19/2026,0.03976721689105034
"Don't miss our April meetup in Eindhoven! Together with Cisco, we’ve created an evening focused on how to build secure, full-stack AI applications that can scale in enterprise environments.

On the agenda: 
📊 Boris Vermaas (AI Infrastructure,  Cisco) will introduce the concept of a Secure AI Factory for designing scalable, production-ready AI infrastructure.

🔧 Sebastiaan van Duijn (AI CoE Leader,Trivium Packaging) will sharing a real-world case study on building a custom AI application on the Cisco stack and the journey of scaling it.

⚙️ Igor Soltysik (Channel Solutions Architect Benelux & Nordics, NVIDIA) will provide a deep dive into building and deploying applications on NVIDIA AI, including the latest technical developments and hardware updates from NVIDIA GTC.

🥂 Networking drinks and bites

Spots are limited, RSVP using the link below 👇 

#KickstartAIMeetup #AIInfrastructure #EnterpriseAI
",03/16/2026,0.03699136897921562
"Environmental crime investigations are some of the most complex cases police deal with, multiple layers of legislation.

This is why, together with Politie Nederland, KickstartAI is working on an AI tool that helps investigators navigate legislation, case law and similar cases more quickly, supporting the early analysis phase of environmental crime investigations.

We spoke with Amir Niknam, senior innovation advisor at the Police, about the project and the role AI can play in supporting investigators. 

🎓 His interview also kicks off our new series ""AI Lessons from the Boardroom"", where we speak with executives about how they approach the governance and use of AI in their organizations.

👇 Read the full article below: 
https://lnkd.in/euaR2tME

#AI #EnvironmentalCrime #AILessonsFromTheBoardroom ",03/12/2026,0.04011461138725281
"🚀 LastFriday, we had a full house at our KickstartAI x Data Science Rotterdam meetup on scaling AI products.

We heard valuable insights from founders navigating this journey every day:
🔸 Leen de Graaf (Cuurios) on building targeted AI solutions instead of one-size-fits-all products
 🔸 Guus van Heijningen (Captain) on raising funding for an AI startup
 🔸 Sohrab Hosseini (orq.ai) and Karthik Mahadevan (Envision) on the realities of scaling 

💡 Key takeaways:
 • Start with human psychology, workflows, and trust. 
 • Think like an investor when building your pitch.
 • Build internationally from day one.

Thanks to our speakers, the evening's moderator Michael Niemantsverdriet, and everyone who joined the discussion.

Save the date for our upcoming meetup on April 2!
#AIMeetup  #ScalingAI",03/09/2026,0.3216308057308197
"We’re proud that KickstartAI was shortlisted as a finalist for the Nederlandse AI-Award this week, as one of the initiatives contributing to the Dutch AI ecosystem 🇳🇱

For us, the nomination reflects a year of work with partners, collaborators, and our broader community, with a focus on applying AI to the most pressing challenges. 

Congratulations to the winner GPT-NL and to the fellow finalists The European Trust Alliance, vlam.ai by SSC-ICT, and De Nederlandse AI Fabriek 👏

Glad to be part of an ecosystem pushing responsible AI forward in the Netherlands. We believe AI should be more than a technological upgrade. Used well, it can become a societal advantage. 

#NederlandseAIAward #ΑΙ #ΑΙNetherlands",03/06/2026,0.22401723265647888
"We often credit progress in language models to bigger architectures and ever-larger datasets. But questions of data composition and data quality are just as crucial – and far less understood.

📖 In our latest article, we spoke with Dong Nguyen (Associate Professor at Utrecht University) about DataDivers, an ongoing research project on how to measure data diversity in language model datasets – and how this can help us better understand model behavior and performance.

Read the full article below 👇 
https://lnkd.in/e9CD-i8j

#AI #DataDiversity #LLMs #NLP",02/26/2026,0.029615627601742744
"Hartelijk dank voor jullie bezoek, Ouafa Oualhadj, Sarah El Boujdaini en Fabian Snijders (D66), aan KickstartAI. Waardevol om – juist op de dag dat Jetten I van start ging – samen te brainstormen over hoe we concrete stappen kunnen zetten in AI-adoptie.

💡 Op de agenda:
 🔸 Welke lessen kunnen we leren uit de praktijk van AI-adoptie? Denk aan het oplossen van maatschappelijke vraagstukken, het effectiever maken van de overheid en het versterken van bedrijven met AI.
 🔸 Concrete voorbeelden: we deelden hoe AI nu al aantoonbare waarde toevoegt voor onze partners en de organisaties waarmee we samenwerken.
 🔸 Verantwoorde AI: een open en eerlijke dialoog over wat nodig is voor veilige, ethische én innovatieve AI-toepassingen in Nederland.

Het toepassen van AI in Nederland vraagt om urgentie én om het uitvoeren van de afspraken uit het coalitieakkoord. Nu is het moment om woorden om te zetten in daden. Dat vraagt om durf om actie te nemen – bijvoorbeeld via sterke publiek-private samenwerking.

Veel dank voor jullie komst, jullie betrokkenheid bij AI en – bovenal – de gedeelde ambitie om de kansen van AI in de praktijk te realiseren! 

#AIAdoptie #Innovatie #DigitaleZaken",02/24/2026,0.09868983179330826
"We’re proud to share that KickstartAI has been nominated for the ""Nederlandse AI-Award"" as one of the selected initiatives contributing to the Dutch AI ecosystem! 🇳🇱

This nomination is a reflection of the collective work of our team, our partners, our community, and supporters who are accelerating responsible AI adoption and creating real societal impact.

It's also an honour to stand alongside other impactful initiatives and organizations shaping the Netherland's AI landscape: GPT-NL, The European Trust Alliance, vlam.ai by SSC-ICT, and De Nederlandse AI Fabriek. 

We look forward to the ceremony on March 4 🚀  A special thanks to Jim Stolze for bringing these awards to life! ",02/19/2026,0.04912998899817467
"🚀Meet Jorrit van der Laan, ML Engineer at KickstartAI!

With a background in mathematics and data science, Jorrit enjoys solving problems and finding patterns.

What he finds special about the AI field is that deep technical work goes hand in hand with collaborating with people from diverse backgrounds and understanding different perspectives.

💡His advice to people considering a career in AI? “Don’t get too attached to specific tools or techniques. Focus on understanding the fundamentals – they’ll always stay relevant.”

Read his full story in the comments 👇

#AI #MachineLearning #AIEngineers #KickstartAI",02/18/2026,0.09740991145372391
"Join us for a KickstartAI x Data Science Rotterdam meetup on scaling AI products – from prototype to market – and how to navigate all the hurdles in between. 

You'll hear from: 

⚙️ Leen de Graaf (CEO, Cuurios) on building targeted AI solutions instead of rigid “one-size-fits-all” products

💰 Guus van Heijningen (Co-founder, Captain) on lessons from fundraising for an AI startup 

📊 Sohrab Hosseini (Co-founder, orq.ai) & Karthik Mahadevan (CEO, Envision) in a fireside chat on what “market-ready” AI means today

PS: Drinks & dinner on us! RSVP below👇 

#AI #Scaling #AIStartups #AICommunity #KickstartAICommunity",02/16/2026,0.06444565951824188
"It was a real pleasure being part of last week’s AI4ALL Gala & Awards – an evening of inspiration, celebration, and a shared belief that AI can help our society thrive for the benefit of all.

We were honoured to sponsor the AI4Her Earth Award, recognizing the use of AI to address environmental challenges, and proud to have our CEO Erick Webbe present it to Dr. Rimma Dzhusupova, whose work applies AI to optimize resource-intensive industries – from improving complex engineering processes to supporting offshore green hydrogen production.

Congratulations to Rimma on this well-deserved recognition, to fellow category finalists Anna Brueva and Inge van den Ende, and to all the nominees and winners of the evening. ✨ 

Events like this show why community matters.

If AI is to strengthen our economy and society we have to keep building ecosystems where people collaborate, share knowledge, and turn ideas into action. 

👏 A big thank you to the AI4ALL founders Oliviana Bailey, Karen S. Harriss, MBA, GMA, MA, and Jana Wilhelmus for all their work! 

📸 Credits to Lera Manzovitova for the first two photos. 

#AI #KickstartAI #AI4ALL",02/12/2026,0.35481154918670654
